sra	sampleID	Day_of_Life	Individual
SRX1551927	6-D4	39.1	341.01
SRX1551925	7-D2	71.3	98.01
SRX1551923	8-D3	32.9	271.01
SRX1551921	2-E2	24.3	303.01
SRX1551919	3-E4	15.2	110.01
SRX1551917	6-G3	10.1	361.01
SRX1551915	1-E8	10.0	190.01
SRX1551913	8-G4	62.3	370.01
SRX1551911	3-E2	29.6	76.01
SRX1551909	4-B6	13.0	195.01
SRX1551907	2-E4	63.2	89.01
SRX1551905	7-G3	79.6	175.01
SRX1551903	8-G2	49.9	370.01
SRX1551901	6-G5	14.6	363.01
SRX1551899	5-D8	14.7	250.01
SRX1551897	3-F5	14.5	56.01
SRX1551895	4-A1	16.2	144.01
SRX1551893	2-F3	29.6	338.01
SRX1551891	5-A7	22.5	250.01
SRX1551889	7-D4	35.3	111.01
SRX1551887	6-D2	19.4	341.01
SRX1551885	1-C6	52.0	126.01
SRX1551883	1-E2	11.3	55.01
SRX1551881	6-B6	50.3	313.01
SRX1551879	8-B1	39.0	205.01
SRX1551877	4-G5	16.2	181.01
SRX1551875	7-D8	42.6	122.01
SRX1551873	6-A1	13.2	302.01
SRX1551871	7-A7	46.1	43.01
SRX1551869	8-A6	77.4	198.01
SRX1551867	5-D4	50.8	234.01
SRX1551865	3-C6	14.6	121.01
SRX1551863	7-A1	43.3	40.01
SRX1551861	1-F3	40.8	98.01
SRX1551859	6-A7	38.8	363.01
SRX1551857	2-H6	9.0	278.01
SRX1551855	4-D4	23.7	180.01
SRX1551853	5-D2	11.7	240.01
SRX1551851	2-C6	21.5	190.01
SRX1551849	7-B6	49.5	54.01
SRX1551847	1-E4	37.0	107.02
SRX1551845	4-G3	20.2	144.02
SRX1551843	5-G5	34.8	234.02
SRX1551841	3-E8	53.6	110.01
SRX1551839	2-B6	12.1	190.01
SRX1551837	5-E2	15.5	240.01
SRX1551835	4-E4	52.4	180.01
SRX1551833	1-G3	31.5	107.01
SRX1551831	2-A1	74.4	209.01
SRX1551829	3-D8	15.0	171.01
SRX1551827	5-F5	14.5	240.01
SRX1551825	3-A7	14.5	144.02
SRX1551823	1-D4	34.5	107.02
SRX1551821	7-H6	42.7	189.01
SRX1551819	7-C6	41.6	97.01
SRX1551817	8-C7	16.3	267.01
SRX1551815	3-A1	32.5	37.02
SRX1551813	2-D8	31.7	312.01
SRX1551811	4-F5	28.4	171.01
SRX1551809	2-A7	35.8	286.02
SRX1551807	5-F3	56.7	234.01
SRX1551805	8-C1	35.3	234.01
SRX1551803	6-H6	14.9	364.01
SRX1551801	1-D2	32.3	41.01
SRX1551799	3-B6	20.2	90.01
SRX1551797	4-E2	17.3	139.01
SRX1551795	5-E4	50.4	195.01
SRX1551793	7-E8	34.9	145.01
SRX1551791	1-G5	16.3	120.01
SRX1551789	6-F5	38.5	355.01
SRX1551787	7-F3	42.8	151.01
SRX1551785	8-F2	19.2	340.01
SRX1551783	4-H6	27.5	180.01
SRX1551781	2-D4	43.8	88.01
SRX1551779	4-C6	15.5	195.01
SRX1551777	3-D2	9.7	68.02
SRX1551775	6-E2	45.3	345.02
SRX1551773	2-G3	33.5	345.02
SRX1551771	3-G5	37.3	56.01
SRX1551769	5-E8	26.7	265.01
SRX1551767	8-E3	9.8	321.01
SRX1551765	6-E4	22.0	355.01
SRX1551763	3-G3	35.4	37.02
SRX1551761	2-G5	22.8	167.01
SRX1551759	4-E8	29.3	180.01
SRX1551757	7-F5	57.3	151.01
SRX1551755	1-D8	8.3	190.01
SRX1551753	1-A7	26.2	151.01
SRX1551751	6-F3	32.8	355.01
SRX1551749	5-H6	15.1	319.01
SRX1551747	3-D4	35.1	76.01
SRX1551745	5-C6	66.3	234.01
SRX1551743	2-D2	43.6	286.02
SRX1551741	7-A8	58.5	43.01
SRX1551739	1-C5	56.2	107.02
SRX1551737	6-D1	18.3	250.01
SRX1551735	1-H5	24.1	120.01
SRX1551733	7-D7	39.5	122.01
SRX1551731	5-A4	12.7	240.01
SRX1551729	3-F6	52.8	121.01
SRX1551727	6-G6	16.3	361.01
SRX1551725	8-G1	48.9	370.01
SRX1551723	5-B3	25.9	234.01
SRX1551721	2-E7	18.2	303.01
SRX1551719	4-B5	14.2	181.01
SRX1551717	3-E1	18.6	76.03
SRX1551715	8-G7	27.0	383.01
SRX1551713	8-B8	84.8	220.01
SRX1551711	4-B3	19.0	171.01
SRX1551709	3-E7	49.5	110.01
SRX1551707	1-F5--7-D3	31.9	111.01
SRX1551705	5-B5	52.7	234.01
SRX1551703	2-E1	18.1	286.02
SRX1551701	6-A8	25.3	76.03
SRX1551699	1-H3	24.2	107.02
SRX1551697	7-D1	42.5	98.01
SRX1551695	1-C3	59.5	89.01
SRX1551693	4-A4	20.7	171.01
SRX1551691	5-A2	59.9	234.02
SRX1551689	2-F6	10.5	244.01
SRX1551687	1-E6--7-E7	20.9	145.01
SRX1551685	5-G6	16.7	294.01
SRX1551683	6-B3	23.7	319.01
SRX1551681	8-B4	17.7	220.01
SRX1551679	2-C5	36.6	145.01
SRX1551677	4-A8	56.9	181.01
SRX1551673	3-H3	29.4	48.01
SRX1551671	3-C3	19.1	76.01
SRX1551669	4-D7	25.5	194.01
SRX1551667	6-A4	20.3	364.01
SRX1551665	8-A3	38.0	198.01
SRX1551663	7-A2	48.8	40.01
SRX1551661	3-C5	17.0	110.01
SRX1551659	4-D1	16.7	171.01
SRX1551657	2-C3	28.9	309.01
SRX1551655	7-A4	83.4	40.01
SRX1551653	6-A2	16.7	302.01
SRX1551651	1-F6	32.9	145.01
SRX1551649	4-G6	21.7	180.01
SRX1551647	8-B2	39.7	205.01
SRX1551645	7-B3	16.4	54.01
SRX1551643	6-B5	27.9	319.01
SRX1551641	1-E1	21.2	40.01
SRX1551639	1-G6	20.9	151.01
SRX1551637	5-E7	13.6	319.01
SRX1551635	2-B3	47.5	303.01
SRX1551633	4-E1	51.6	110.01
SRX1551631	3-B5	21.5	76.01
SRX1551629	7-H3	30.0	189.01
SRX1551627	6-C5	17.1	336.01
SRX1551625	6-H5	20.6	363.01
SRX1551623	7-C3	56.5	68.02
SRX1551621	4-F6	9.7	180.01
SRX1551619	3-A2	27.6	37.02
SRX1551617	6-H3	18.0	361.01
SRX1551615	1-A8	29.9	189.01
SRX1551613	7-C5	34.6	97.01
SRX1551611	7-H5	41.6	189.01
SRX1551609	1-D7	18.9	167.01
SRX1551607	6-C3	8.8	338.01
SRX1551605	3-A4	33.2	56.01
SRX1551603	5-F6	60.1	265.01
SRX1551601	2-A2	25.8	286.02
SRX1551599	4-E7	31.6	197.01
SRX1551597	5-E1	15.4	237.01
SRX1551595	2-B5	32.0	107.02
SRX1551593	2-D1	17.0	286.02
SRX1551591	1-G8--8-A8	36.1	205.01
SRX1551589	5-C5	64.3	234.01
SRX1551587	3-A8	16.2	144.02
SRX1551585	3-D7	12.7	171.01
SRX1551583	5-H5	36.8	237.01
SRX1551581	4-C3	49.3	121.01
SRX1551579	1-A4	28.2	107.02
SRX1551577	8-F7	49.8	343.01
SRX1551575	2-G6	7.0	278.01
SRX1551573	6-E7	12.6	364.01
SRX1551571	1-B3	32.6	88.01
SRX1551569	7-E1	49.6	122.01
SRX1551567	3-G6	19.2	139.01
SRX1551565	8-E6	29.0	338.01
SRX1551563	6-E1	20.7	265.01
SRX1551561	1-B5	46.4	107.02
SRX1551559	5-H3	8.7	234.01
SRX1551557	4-C5	25.7	180.01
SRX1551555	2-A8	36.1	303.01
SRX1551553	4-H5	22.2	181.01
SRX1551551	5-C3	29.8	234.01
SRX1551549	8-F1	18.9	340.01
SRX1551547	6-F6	12.4	361.01
SRX1551545	1-A2	44.0	40.01
SRX1551543	6-B8	17.0	234.02
SRX1551541	6-G7	42.2	363.01
SRX1551539	4-B4	24.6	171.01
SRX1551537	5-B2	35.7	197.01
SRX1551535	8-D7	53.7	295.01
SRX1551533	1-H4	41.7	107.02
SRX1551531	1-C4	33.1	107.02
SRX1551529	4-A3	36.5	144.01
SRX1551527	3-F7	55.9	121.01
SRX1551525	3-C8	22.2	144.02
SRX1551523	5-A5	31.7	234.01
SRX1551521	2-F1	19.9	286.02
SRX1551519	1-C2	28.1	41.01
SRX1551517	6-D6	43.5	341.01
SRX1551515	8-D1	25.7	267.01
SRX1551513	1-H2	43.5	58.01
SRX1551511	5-A3	17.0	234.01
SRX1551509	2-F7	23.7	303.01
SRX1551507	2-C8	31.1	309.01
SRX1551505	4-A5	26.4	171.01
SRX1551503	3-F1	28.2	76.01
SRX1551501	6-G1	66.3	265.01
SRX1551499	8-G6	21.7	383.01
SRX1551497	4-B2	32.4	144.01
SRX1551495	3-E6	20.3	121.01
SRX1551493	2-H4	42.1	107.01
SRX1551491	4-D6	17.4	197.01
SRX1551489	2-C4	31.1	55.01
SRX1551487	3-H2	27.0	48.01
SRX1551485	8-A2	29.9	198.01
SRX1551483	7-A3	51.6	40.01
SRX1551481	6-A5	32.7	363.01
SRX1551479	1-F1	23.4	40.01
SRX1551477	4-G1	21.1	139.01
SRX1551475	5-G7	24.9	265.01
SRX1551473	8-B5	27.7	220.01
SRX1551471	7-B4	23.8	54.01
SRX1551469	6-B2	44.8	313.01
SRX1551467	5-G1	36.7	234.02
SRX1551465	6-B4	25.9	319.01
SRX1551463	8-B3	66.1	205.01
SRX1551461	7-B2	17.6	48.01
SRX1551459	2-C2	35.7	286.02
SRX1551457	3-H4	12.5	56.01
SRX1551455	5-D6	20.3	250.01
SRX1551453	3-C4	20.9	76.03
SRX1551451	2-H2	38.6	303.01
SRX1551449	6-A3	18.0	364.01
SRX1551447	1-H8	71.8	209.01
SRX1551445	7-A5	25.0	43.01
SRX1551443	8-C3	56.7	234.01
SRX1551441	7-C2	55.7	68.02
SRX1551439	4-F7	11.5	180.01
SRX1551437	3-A3	29.2	56.01
SRX1551435	5-F1	13.8	240.01
SRX1551433	4-C8	13.5	180.01
SRX1551431	2-A5	29.5	107.02
SRX1551429	1-B8	37.2	189.01
SRX1551427	1-G7	33.5	184.01
SRX1551425	3-B4	53.5	68.02
SRX1551423	5-E6	16.4	265.01
SRX1551421	2-B2	29.5	286.02
SRX1551419	1-G1	30.0	40.01
SRX1551417	2-B4	40.0	40.01
SRX1551415	4-E6	35.1	194.01
SRX1551413	3-B2	25.4	48.01
SRX1551411	1-D6	57.0	126.01
SRX1551409	7-H4	39.9	189.01
SRX1551407	6-C2	46.7	313.01
SRX1551405	8-C5	42.6	234.02
SRX1551403	7-C4	77.0	68.02
SRX1551401	5-F7	66.7	234.02
SRX1551399	5-H8	28.8	265.01
SRX1551397	2-A3	40.5	303.01
SRX1551395	5-C8	11.9	319.01
SRX1551393	3-A5	35.1	56.01
SRX1551391	3-G1	27.6	90.01
SRX1551389	2-B8	37.7	303.01
SRX1551387	2-G7	30.3	303.01
SRX1551385	1-B2	47.1	40.01
SRX1551383	5-H4	27.4	234.01
SRX1551381	3-D6	47.6	110.01
SRX1551379	4-C2	36.1	53.01
SRX1551377	4-H2	22.2	144.01
SRX1551375	5-C4	32.6	240.01
SRX1551373	7-H8	22.0	198.01
SRX1551371	7-F7	23.4	175.01
SRX1551369	6-F1	58.2	265.01
SRX1551367	1-A5	41.9	107.02
SRX1551365	7-C8	33.5	98.01
SRX1551363	4-H4	33.3	194.01
SRX1551361	2-D6	18.4	219.01
SRX1551359	5-C2	14.5	234.02
SRX1551357	5-H2	46.4	195.01
SRX1551355	4-C4	15.5	180.01
SRX1551353	6-F7	16.8	364.01
SRX1551351	6-H8	31.6	56.01
SRX1551349	1-A3	54.5	58.01
SRX1551347	7-F1	53.9	145.01
SRX1551345	6-C8	29.4	76.03
SRX1551343	2-G1	21.2	286.02
SRX1551341	3-B8	18.3	144.01
SRX1551339	3-G7	23.4	139.01
SRX1551337	1-B4	31.5	107.02
